SMOD_ID,JRC_NAME_MAIN,minx,miny,maxx,maxy
30_10399,Amsterdam,4.29037465100007,51.82064511500008,5.448432078000076,52.922334029000034
30_1678,Beijing,115.48911373200005,39.22999679400008,117.14633801400012,40.58439868400003
30_3528,Berlin,12.820922711000048,52.07626094800004,13.965359338000031,52.95883009200007
30_3370,Bogota,-74.28180781899994,4.474229151000031,-74.01076879099998,4.822438761000058
30_207,Buenos Aires,-58.90376687799994,-34.945719811999936,-58.13917069699994,-34.37952053599997
30_3740,Cairo,31.005551567000055,29.64269119100004,31.53027022200007,30.411635041000068
30_12977,Cape Town,18.06988364900003,-34.40130696899995,19.063606023000023,-33.48872796499997
30_12684,Caracas,-67.03809428699998,10.406523493000066,-66.71442814699998,10.536761140000067
30_2391,Changsha,112.62896224800004,27.82654586400007,113.34783405300011,28.48958953800003
30_12453,Chicago,-88.42760999499995,41.43357832700008,-87.19284912399996,42.22001027700003
30_3452,Cologne,6.4855934090000575,50.48088071300005,7.490558293000038,51.42721888000004
30_544,Dhaka,90.00429341400007,23.422419943000023,90.79547039600004,24.351363803000027
30_2701,Guangzhou,112.76360817300008,22.44593904000004,114.40864127300006,23.380634772000064
30_2808,Hong Kong,113.90676248600005,22.220972798000048,114.2835391220001,22.479279146000067
30_11947,Istanbul,27.998381391000066,40.249484996000035,30.017668945000025,41.72626853400004
30_5056,Jakarta,106.09581938900004,-6.978192200999956,107.59260595800004,-6.013376776999962
30_10497,Karachi,66.88270736500004,24.77064802900003,67.32140520000007,25.039271813000028
30_10799,Lima,-77.17928238899998,-12.256345258999943,-76.73284419599997,-11.807724169999972
30_11109,Lisbon,-9.55298712999994,38.48827256200004,-8.934218687999953,39.00819041200007
30_4716,London,-1.1289718259999404,50.77180858600008,0.9021675620000451,52.28404383800006
30_12261,Los Angeles,-118.77564332899996,33.28994570900007,-117.01153201199995,34.42732907000008
30_3928,Madrid,-4.45256915799996,39.71126737900005,-2.929000243999951,41.078874503000065
30_231,Melbourne,144.22197134300006,-38.706847094999944,145.8928454070001,-37.12285461899995
30_8884,Milan,8.678474829000049,45.057650355000035,9.728724923000062,46.055460909000075
30_11188,Moscow,36.929314037000054,55.043269350000074,38.39044273100005,56.32465630200004
30_5720,Mumbai,72.46939273300008,18.58680461100006,73.57740003700006,19.62483509800005
30_3520,Munich,10.995108906000075,47.64281770000006,12.158483489000071,48.64059688300008
30_9135,Nairobi,36.55363766400003,-1.442601803999969,37.06313313600007,-1.0646565169999689
30_2697,Nanjing,118.38832878800001,31.60158014600005,119.16920445700005,32.38044617300007
30_12545,New York,-74.68045441799995,40.36359876600005,-72.90239322299993,41.17222816300006
30_9031,Osaka [Kyoto],134.30978392700007,34.109934633000066,136.077885911,35.28531684000008
30_4559,Paris,1.6020872710000276,48.27085988800003,2.9813178460000698,49.372499097000045
30_12532,Philadelphia,-75.81002657699997,39.576433691000034,-74.78804641399995,40.193354473000056
30_2497,Qingdao,119.866083911,35.638745990000054,120.93470377700012,36.851192234000074
30_10858,Quezon City [Manila],120.7885354120001,14.021135496000056,121.29702796700008,14.987386062000041
30_10651,Rawalpindi [Islamabad],72.60395359500008,33.21124074300003,73.55104231500006,34.054023591000075
30_999,Rio De Janeiro,-43.83256462099994,-23.13818429599994,-43.028646797999976,-22.47098020199993
30_8923,Rome,12.149985841000035,41.55856133500002,12.90856605800003,42.21175118200007
30_1057,Salvador,-38.539769106999984,-13.015592931999947,-38.282476730999974,-12.819575069999928
30_12257,San Jose,-122.63039915599998,37.09921391200006,-121.63426544699999,38.165113041000076
30_1187,Santiago,-70.93205346599993,-33.75861383399994,-70.38524789399995,-33.18602932099994
30_2889,Shanghai,120.88141257100008,30.79124323100003,121.95475875400004,31.600628230000076
30_237,Sydney,150.5558305670001,-34.28393009599996,151.52513346000006,-33.46728579899995
30_941,São Paulo,-47.099079192999945,-23.91544744699994,-46.05316640299994,-23.272278338999932
30_8675,Tehran,50.73894431800007,35.37841779300006,51.72782429200007,35.99852448900007
30_9071,Tokyo,139.0858306880001,35.17261064300004,140.2917728980001,36.18783429400003
30_1107,Vancouver,-123.38524578799993,49.00094952700007,-122.61873268399998,49.46677869100004
30_12516,Washington D.C.,-77.66702982799998,38.58596827300007,-76.70269760699998,39.31974056000005
30_2334,Wuhan,113.59920751500007,29.968856429000063,114.89513312800003,31.102718372000048
30_1164,Zurich,7.850346756000022,46.717050967000034,9.264532551000059,47.969898615000034
30_2149,东营区,117.89545760900012,36.88444607800005,119.09678874400004,38.04335332900007
