"Name","State","embedding","preset","Created","Runtime","task","arch","cities","test_acc_macro","test_acc","test_f1","test_f1_micro","test_kappa","test_miou","test_loss","val_acc_macro","val_acc","val_f1","val_f1_micro","val_kappa","val_miou","val_loss","train_acc_macro","train_oa","train_f1_macro","train_f1_micro","train_kappa","train_loss","train_ce","train_dice","batch_size","dice_weight","in_channels","n_params","num_classes","patch_size","year","max_epochs","epoch","early_stopping_patience","lr","weight_decay","label_source","split_source","test_patches","train_patches","val_patches","data_source","sub_patch_size","head_dropout"
"misunderstood-snow-232","finished","AlphaEarthCoop","large","2026-05-19T23:07:47.000Z","518","patch_classification","mobilenetv4_conv_large","[""London"",""Nairobi""]","0.606354832649231","0.8521410822868347","0.6364080309867859","0.8521410822868347","0.8214946389198303","","0.5631346405439434","0.544411301612854","0.8192524313926697","0.5662147998809814","0.8192524313926697","0.7846745252609253","","0.6965913875929771","0.5950247645378113","0.8177770376205444","0.6353387236595154","0.8177770376205444","0.7874720096588135","0.5619872810815444","","","64","","64","31344817","17","32","2017","50","17","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"magic-wave-231","finished","AlphaEarthCoop","medium","2026-05-19T22:56:22.000Z","457","patch_classification","mobilenetv3_large_150d","[""London"",""Nairobi""]","0.5786851048469543","0.8433249592781067","0.6042096614837646","0.8433249592781067","0.8100160360336304","","0.6145527990800994","0.5597833395004272","0.7862263321876526","0.5450849533081055","0.7862263321876526","0.7454797625541687","","0.8018623821197017","0.5290529727935791","0.7949785590171814","0.5589577555656433","0.7949785590171814","0.7604889869689941","0.6374534985792668","","","64","","64","13376273","17","32","2017","50","19","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"crimson-durian-230","finished","AlphaEarthCoop","small","2026-05-19T22:37:28.000Z","921","patch_classification","mobilenetv3_small_100","[""London"",""Nairobi""]","0.6765179634094238","0.8748111128807068","0.6863319873809814","0.8748111128807068","0.8491200804710388","","0.5330904602481511","0.660842776298523","0.8448540568351746","0.67554771900177","0.8448540568351746","0.815557599067688","","0.991298166554301","0.777789294719696","0.8792051672935486","0.826258659362793","0.8792051672935486","0.8591225743293762","0.3813564168746365","","","64","","64","1544065","17","32","2017","50","45","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"skilled-donkey-229","finished","AlphaEarthCoop","large","2026-05-19T22:13:07.000Z","1107","patch_classification","convnext_large","[""London"",""Nairobi""]","0.5891597270965576","0.8539043068885803","0.590383768081665","0.8539043068885803","0.823676586151123","","0.565700493812088","0.6154718399047852","0.8456221222877502","0.6097229719161987","0.8456221222877502","0.8184562921524048","","0.6506698642286562","0.679338276386261","0.8366589546203613","0.7348442077636719","0.8366589546203613","0.8094049692153931","0.5129577554467486","","","64","","64","196443857","17","32","2017","50","13","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"dauntless-shadow-228","finished","AlphaEarthCoop","medium","2026-05-19T21:35:33.000Z","1985","patch_classification","convnext_base","[""London"",""Nairobi""]","0.6625826358795166","0.8609572052955627","0.6689726114273071","0.8609572052955627","0.8328554630279541","","0.5719815683643525","0.6703773736953735","0.8489503264427185","0.6723372340202332","0.8489503264427185","0.8205823302268982","","0.6393428002634356","0.7860801219940186","0.8816375136375427","0.8416569232940674","0.8816375136375427","0.8618028163909912","0.3884664283264281","","","64","","64","87708817","17","32","2017","50","45","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"misunderstood-forest-227","finished","AlphaEarthCoop","small","2026-05-19T21:23:29.000Z","496","patch_classification","convnext_tiny","[""London"",""Nairobi""]","0.5476278066635132","0.8355163931846619","0.5651974081993103","0.8355163931846619","0.8006613254547119","","0.5881871896840277","0.6354405283927917","0.8269329071044922","0.6072028875350952","0.8269329071044922","0.7967087626457214","","0.7006417169205604","0.7065025568008423","0.84605872631073","0.7592573165893555","0.84605872631073","0.8206912875175476","0.4944698144153429","","","64","","64","27926897","17","32","2017","50","20","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"apricot-haze-226","finished","AlphaEarthCoop","large","2026-05-19T20:15:45.000Z","3700","patch_classification","efficientnet_b7","[""London"",""Nairobi""]","0.6769940853118896","0.8627204298973083","0.6761372685432434","0.8627204298973083","0.8348492383956909","","1265.0562908486686","0.6479600667953491","0.8568868637084961","0.6655789017677307","0.8568868637084961","0.8292535543441772","","0.6084589476907446","0.7459447383880615","0.8799472451210022","0.8042904138565063","0.8799472451210022","0.8598728179931641","0.3846649777606169","","","64","","64","63865633","17","32","2017","50","50","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"logical-yogurt-225","finished","AlphaEarthCoop","medium","2026-05-19T19:33:22.000Z","2264","patch_classification","efficientnet_b5","[""London"",""Nairobi""]","0.6680630445480347","0.8715365529060364","0.682641863822937","0.8715365529060364","0.8450031876564026","","18.867816636102305","0.6637659072875977","0.8522785305976868","0.6855584979057312","0.8522785305976868","0.8245936036109924","","6.939570214839712","0.7788679003715515","0.8799472451210022","0.8337682485580444","0.8799472451210022","0.8598283529281616","0.3856696977346428","","","64","","64","28401969","17","32","2017","50","50","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"driven-dust-224","finished","AlphaEarthCoop","small","2026-05-19T19:08:49.000Z","1243","patch_classification","efficientnet_b1","[""London"",""Nairobi""]","0.6923009753227234","0.8740554451942444","0.6784622669219971","0.8740554451942444","0.8485554456710815","","0.5121581822713202","0.6508063077926636","0.855606734752655","0.6783866286277771","0.855606734752655","0.8280212879180908","","0.5868177297975747","0.7573199272155762","0.8785867691040039","0.8126230239868164","0.8785867691040039","0.8583589196205139","0.3840001573034201","","","64","","64","6552529","17","32","2017","50","50","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"ruby-glade-223","finished","AlphaEarthCoop","large","2026-05-19T18:21:52.000Z","2345","patch_classification","densenet264d","[""London"",""Nairobi""]","0.6849526166915894","0.870780885219574","0.6874333620071411","0.870780885219574","0.8444734811782837","","0.5677277849661926","0.6548841595649719","0.8604710698127747","0.675258219242096","0.8604710698127747","0.8343383073806763","","0.5904922958823943","0.7809962630271912","0.8835339546203613","0.8348422050476074","0.8835339546203613","0.8641164302825928","0.37189971164144126","","","64","","64","68798129","17","32","2017","50","28","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
