SMOD_ID,JRC_NAME_MAIN,ISO,CNTRY_NAME,minx,miny,maxx,maxy
30_2602,Deqing,CHN,China,111.73983542900004,23.12167807700007,111.83009891200004,23.171783825000034
30_4854,San Pedro Sacatepéquez [San Marcos],GTM,Guatemala,-91.84086396599997,14.938215392000075,-91.72072392199999,14.979190651000067
30_10829,Vigan,PHL,Philippines,120.34449678600004,17.534102591000078,120.43359769000006,17.599996271000066
30_11154,Botoșani,ROU,Romania,26.619818791000057,47.72319773500004,26.69953061900003,47.760762260000035
30_11430,Sharurah,SAU,Saudi Arabia,47.092895963000046,17.476453114000037,47.13662905600006,17.509394817000043
30_12735,Quốc Oai,VNM,Vietnam,105.56044286000008,20.95700878400004,105.64736300100009,21.03173298200005
30_8009,N/A,IND,India,86.28968407100007,25.400587717000064,86.33908242600006,25.442627741000024
30_798,Abaetetuba,BRA,Brazil,-48.895007126999985,-1.7389532939999413,-48.85482754199995,-1.7065969729999324
30_2413,Gaodu,CHN,China,118.30080499500002,34.893394011000055,118.41220562400008,34.98933425100006
30_10910,Surigao City,PHL,Philippines,125.46136825400004,9.771907763000058,125.50543640000001,9.804440632000023
30_4152,Mota,ETH,Ethiopia,37.86333183700003,11.066071101000034,37.89491773000003,11.090509487000077
30_9634,Aungpan,MMR,Myanmar,96.61813853600006,20.641662577000034,96.65585913500007,20.674845119000054
30_8392,Kandi,IND,India,88.00698789500007,23.940976634000037,88.07736528800007,23.974458912000046
30_2405,Yingshan,CHN,China,116.21975163700006,32.62033291400007,116.31553580800005,32.68077293500005
30_4377,Asassa,ETH,Ethiopia,39.17876447900005,7.091747920000046,39.20969463500006,7.116082677000065
30_193,Puerto Madryn,ARG,Argentina,-65.07602376899996,-42.79178094799994,-65.00357349399997,-42.71906663999994
30_11488,Al Rahad,SDN,Sudan,30.619014219000064,12.705258310000033,30.660761784000044,12.746083458000044
30_13044,Mpumalanga,ZAF,South Africa,30.587460502000056,-29.838985073999936,30.660952421000047,-29.779228058999934
30_1235,Golmud,CHN,China,94.86157670100005,36.380930711000076,94.92534634200007,36.44240823600006
30_11214,Murom,RUS,Russia,41.979934824000054,55.533221463000075,42.09465584600008,55.60328829300005
30_182,Reconquista,ARG,Argentina,-59.68312433199998,-29.182393627999943,-59.63050112099995,-29.105753705999973
30_8885,Como,ITA,Italy,9.016178827000033,45.73693482600004,9.156414157000029,45.820320207000066
30_11419,Abu Arish,SAU,Saudi Arabia,42.80768744100004,16.949691965000056,42.86012768000006,16.99082466300007
30_9141,Ruiru,KEN,Kenya,36.922339822000026,-1.164656516999969,36.97229964700006,-1.1403915989999405
30_1741,Shizhu,CHN,China,108.08097230300007,29.96708142500006,108.16510306300006,30.02688108700005
30_320,La Louvière,BEL,Belgium,4.100672459000066,50.44506704200006,4.286412557000062,50.521746661000066
30_3568,Adrar,DZA,Algeria,-0.3230764829999657,27.856969607000053,-0.2584611859999768,27.899354221000067
30_1629,Xinjiang,CHN,China,111.19343661500005,35.59211462600007,111.29179065500006,35.635860345000026
